#NB_PM;NB_VM;sim_time;cpu_energy;nb_mig;all_sla;vm_realloc_mean;exe_time_mean;strg_egy;egy_cost;wo_cost;sla_cost;all_cost;all_time
10.0;25.0;2706.7603773584906;0.4266666666666667;0.0;0.0;4.4444444444444447E-4;8.888888888888889E-4;4.301886897274633E-4;0.07529717559933229;0.5867107133852045;0.0;0.6620078889845368;0.152202492
10.0;25.0;2706.7603773584906;0.4266666666666667;0.0;0.0;0.0;4.4444444444444447E-4;4.301886897274633E-4;0.07529717559933229;0.5867107133852045;0.0;0.6620078889845368;0.045016319
10.0;25.0;2706.7603773584906;0.4266666666666667;0.0;0.0;1.1111111111111112E-4;7.777777777777778E-4;4.301886897274633E-4;0.07529717559933229;0.5867107133852045;0.0;0.6620078889845368;0.049187315
10.0;25.0;2706.7603773584906;0.4266666666666667;0.0;0.0;0.0;2.2222222222222223E-4;4.301886897274633E-4;0.07529717559933229;0.5867107133852045;0.0;0.6620078889845368;0.028854137
10.0;25.0;2706.7603773584906;0.4266666666666667;0.0;0.0;0.0;6.666666666666666E-4;4.301886897274633E-4;0.07529717559933229;0.5867107133852045;0.0;0.6620078889845368;0.024326455
