#NB_PM,NB_PM,UPPER_THR,GREEDY_COST,GREEDY_TIME,HPSD_COST,HPSD_TIME,HPPM_COST,HPPM_TIME,NO_STORAGE_COST,NO_STORAGE_TIME
10,5,70,6.56380571550928,0.4136380874,2.44432454965121,0.468942772,3.19984053014049,0.7256719996,10.573039266054,0.4157914568
10,10,75,9.60341049656711,0.4322739786,2.88913686797773,0.4500449032,3.40042359562287,0.8459667312,7.58057925525048,0.3889169972
10,15,80,6.1006251527211,0.2939371852,3.53931087350098,0.5866462468,3.65881259932326,0.7381021568,8.19706792048663,0.3768679014
10,20,85,6.7066353549133,0.3018497806,2.92065426848249,0.464567775,3.61804891926133,0.637291052,6.33996252225864,0.3809928062
10,25,90,6.7066353549133,0.2979018338,2.51673353539851,0.4303463454,3.31367633875357,0.9685655278,5.82289566031176,0.4267211172
10,30,95,5.7066353549133,0.3168727536,2.58267978106358,0.4335105322,3.39950276829557,0.5680890266,7.82195592653532,0.3983464192
