#NB_PM,NB_PM,GREEDY_COST,GREEDY_TIME,HPSD_COST,HPSD_TIME,HPPM_COST,HPPM_TIME,EXACT_COST,EXACT_TIME,NO_STORAGE_COST,NO_STORAGE_TIME
10,5,4.64499014449723,0.638408962448814,1.84295757962097,0.99513657027709,1.73030203639851,0.736265184592927,1,1,2.11286156499705,0.697059547058034
10,10,4.88543604791327,0.470759457314004,2.10185475979299,0.562418221266705,1.56095999472814,0.5493412806073,1,1,4.62206952817541,0.504604703413937
10,15,4.78128307767106,0.285233503729915,2.17260779609211,0.375193182595957,1.70785951130182,0.338486664640668,1,1,4.47212054929237,0.401797561489009
10,20,3.93690454090896,0.153261233885355,1.24283056801843,0.176062317063573,1.57703106793391,0.182276450724162,1,1,4.54889927101832,0.174757611292119
10,25,3.40979055483591,0.172389288642091,1.2414884658642,0.186611615783526,1.32165370300743,0.170952596752899,1,1,4.71019413110956,0.185659405718034
10,30,3.11491620181696,0.132903693872864,1.22748294966366,0.145091225974359,1.92726141584825,0.150944149021904,1,1,5.7178410754894,0.182202040503821
10,35,2.89103500029097,0.111738685793134,1.11737239880368,0.137814620392,1.47921504967596,0.131276978820145,1,1,5.61072593689815,0.15959681355102
10,40,2.72188186031328,0.180826896675434,1.04423025926395,0.209894107886684,1.61532251943392,0.22236653949736,1,1,4.7394171679718,0.302071518243702
10,45,2.53544573166457,0.0132267351555088,1.53426248911627,0.0155523320200251,1.40489771239399,0.0155625608677667,1,1,4.80456774305259,0.0192804205053606
10,50,2.51989197619068,0.0000433699402955343,1.59807087694508,"0,000103798149754",1.31248508397516,0.000105736814341042,1,1,5.6597699183474,0.000125726757862954
,,,,,,,,,,,
,,,,,"0,046709167389181",,,,,,
