#NB_PM,NB_PM,GREEDY_COST,GREEDY_TIME,HPSD_COST,HPSD_TIME,HPPM_COST,HPPM_TIME,EXACT_COST,EXACT_TIME,NO_STORAGE_COST,NO_STORAGE_TIME
10,5,1.14744811708046,0.891031241013072,4.20363911773026,0.936451697110363,2.97460661331584,0.890046474902804,1,1,3.89552006256156,0.898304415768225
10,10,1.809525852862581,0.580346735462284,5.13937346910646,0.919154796803246,1.96312528983028,0.666461631054506,1,1,2.96081033110587,0.622614437138469
10,15,3.91393301460786,0.440179278272348,4.76518909524431,0.514669998320751,1.41020047449395,0.446133588158199,1,1,3.0610156459979,0.407422084026388
10,20,5.42757611973638,0.242752230039442,4.47544949656666,0.332298968673064,1.40311496108695,0.233109879434796,1,1,4.8084094150637,0.20166082752286
10,25,4.01017675517553,0.25238717786002,3.7744062383543,0.317103330270129,1.38447021245666,0.245753224342243,1,1,3.06550331062643,0.233642409932622
10,30,3.05000647921139,0.205759077870327,4.19183590498005,0.282482571097139,1.37044279457192,0.211191017647337,1,1,3.00862644706026,0.1672312352392
10,35,3.63212600588343,0.185627785036761,3.9857191282435,0.255448845306383,1.41862612987108,0.170018775344933,1,1,3.9749345816488,0.143715602672048
10,40,3.95986138468999,0.166949850196488,3.43632872350687,0.214083173561221,1.42034087216814,0.143150148012323,1,1,4.00765037228544,0.121467304331095
10,45,2.86983610390709,0.0231349596859319,2.66854392626659,0.0349231499880977,1.53536477118684,0.0229298020685271,1,1,3.13382477189022,0.0277568471888726
10,50,2.9366781701041,0.000150431777518279,2.37137955754523,0.000121758199249625,1.6537232179407,0.000157122846779818,1,1,3.02236162721719,0.000131964347187345
